feature,mean_importance
Feature_8,0.001797553859651091
Feature_9,0.001835589385591474
Feature_2,0.006340098720975229
Feature_36,0.016783413663506518
Feature_59,0.021030519912019385
Feature_71,0.02403627461753788
Feature_72,0.02630324947182091
Feature_47,0.028702304316684614
Feature_73,0.029261489859782174
Feature_51,0.04147089754231276
Feature_70,0.041934590055607276
Feature_40,0.0436252801306546
Feature_28,0.05456617659889161
Feature_31,0.06475665553472937
Feature_41,0.08320100540295244
Feature_106_diff_Feature_66,0.09627784089185298
