feature,mean_importance
Feature_64,-0.017231805631890872
Feature_39,-0.014939695186913005
Feature_40,-0.012864585230126957
Feature_37,-0.006892220526933645
Feature_43,-0.006582575412467095
Feature_63,-0.0021569872042163873
Feature_38,-0.0018490476720034788
Feature_60,-0.0016471603093668684
Feature_46,-0.0007455300353467253
Feature_57,-1.1833272874328671e-05
Feature_69,0.0
Feature_67,0.0
Feature_74,0.0
Feature_110,0.0
Feature_109,0.0
Feature_61,0.0
Feature_58,0.0
Feature_68,0.0
Feature_75,0.0
Feature_77,0.0
Feature_79,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_87,0.0
Feature_85,0.0
Feature_84,0.0
Feature_83,0.0
Feature_82,0.0
Feature_81,0.0
Feature_80,0.0
Feature_99,0.0
Feature_56,0.0
Feature_1122,0.0
Feature_107,0.0
Feature_27,0.0
Feature_26,0.0
Feature_25,0.0
Feature_22,0.0
Feature_21,0.0
Feature_14,0.0
Feature_16,0.0
Feature_12,0.0
Feature_50,0.0
Feature_10,0.0
Feature_9,0.0
Feature_52,0.0
Feature_13,0.0
Feature_78,5.602293647827272e-05
Feature_7,5.7922163978241235e-05
Feature_76,0.00011995612177998494
Feature_24,0.0002961619151756301
Feature_55,0.000534432721324285
Feature_1,0.0006929482053965486
Feature_45,0.0007655870355665839
Feature_48,0.0007835454400629161
Feature_86,0.0008078257134184419
Feature_72,0.0009742511715740254
Feature_66,0.0012043411983177267
Feature_15,0.001239611874334534
Feature_53,0.0012522753980010904
Feature_62,0.0013683506986126525
Feature_11,0.002023968338035065
Feature_49,0.002130534225143521
Feature_71,0.004002821831963976
Feature_8,0.00486226147040727
Feature_44,0.00591093328315766
Feature_42,0.00744341562036428
Feature_59,0.007989880363456926
Feature_70,0.009757483652792887
Feature_36,0.012948729041963836
Feature_31,0.015837498977780362
Feature_73,0.0195185003941879
Feature_2,0.022344253854826125
Feature_47,0.03724428708665075
Feature_106,0.045983697408810274
Feature_28,0.07664792563300582
Feature_51,0.08817552072461696
Feature_41,0.14353784028906377
