feature,mean_importance
Feature_49,-0.009956123689189555
Feature_45,-0.0032262382190674454
Feature_43,-0.002823138479143383
Feature_38,-0.0023335180664434962
Feature_11,-0.0013120654691010647
Feature_44,-0.0011133929016068577
Feature_42,-0.0009047396341338776
Feature_70,-0.0008322144672274434
Feature_78,-0.0005431341333314799
Feature_92_sum_Feature_106,-0.0003327632788568735
Feature_107,-0.00023920722305774688
Feature_106,-0.00020306752994656563
Feature_58,-0.00018435234203934003
Feature_99,0.0
Feature_62_sum_Feature_106,0.0
Feature_79,0.0
Feature_79_sum_Feature_106,0.0
Feature_77,0.0
Feature_76,0.0
Feature_74,0.0
Feature_62_multiply_Feature_106,0.0
Feature_31_diff_Feature_1122,0.0
Feature_69,0.0
Feature_68,0.0
Feature_67,0.0
Feature_66,0.0
Feature_75,0.0
Feature_1122,0.0
Feature_109_sum_Feature_106,0.0
Feature_80,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_87,0.0
Feature_85,0.0
Feature_83,0.0
Feature_110,0.0
Feature_82,0.0
Feature_81,0.0
Feature_90_sum_Feature_106,0.0
Feature_109,0.0
Feature_1,0.0
Feature_61,0.0
Feature_10,0.0
Feature_12,0.0
Feature_13,0.0
Feature_14,0.0
Feature_15,0.0
Feature_16,0.0
Feature_21,0.0
Feature_22,0.0
Feature_24,0.0
Feature_25,0.0
Feature_26,0.0
Feature_27,0.0
Feature_50,0.0
Feature_62,0.0
Feature_56,0.0
Feature_60,0.0
Feature_64,0.0002643147390335887
Feature_52,0.0002942729601636551
Feature_53,0.00031790781300515824
Feature_8,0.0009208016935735919
Feature_93,0.0010283582238480471
Feature_84,0.0014509896421805002
Feature_72,0.0020645949011668606
Feature_31_sum_Feature_106,0.0022540102154016473
Feature_46,0.003282235856167981
Feature_7,0.0033037827862426594
Feature_109_multiply_Feature_106,0.004141698013991136
Feature_57,0.004554533264599747
Feature_37,0.00476824166253208
Feature_86,0.008159578638151288
Feature_9,0.008589729387313127
Feature_48,0.010756082674488432
Feature_39,0.011284926366060977
Feature_59,0.011326037719845772
Feature_28,0.011813023728318528
Feature_36,0.011859097084961833
Feature_63,0.011861553727649165
Feature_55,0.013375438810326167
Feature_73,0.017033760752528916
Feature_71,0.018676272421143947
Feature_51,0.02121825032634661
Feature_2,0.022591023826971646
Feature_40,0.030183441564440715
Feature_41,0.04200373852159828
Feature_47,0.053983471598476176
Feature_31,0.0640403744019568
Feature_106_diff_Feature_66,0.11205081388354302
