feature,mean_importance
Feature_70,-0.02320200088899581
Feature_43,-0.01655658639501778
Feature_31_sum_Feature_106,-0.012623500186018644
Feature_49,-0.011026082471944375
Feature_36,-0.009605665579438183
Feature_92_sum_Feature_106,-0.006965047712437777
Feature_79_sum_Feature_106,-0.0035527669871225688
Feature_73,-0.003245696132071285
Feature_72,-0.003124712863937007
Feature_44,-0.0023687269259243917
Feature_90_sum_Feature_106,-0.0023301465902477283
Feature_109_multiply_Feature_106,-0.002007065741345271
Feature_62,-0.0013698271475731994
Feature_106,-0.00099833350628612
Feature_37,-0.0008678470086306067
Feature_9,-0.0004878409206867107
Feature_56,-0.0003975614532828242
Feature_42,-0.0003174923267215135
Feature_45,-8.45420360565008e-05
Feature_93,0.0
Feature_110,0.0
Feature_67,0.0
Feature_61,0.0
Feature_96,0.0
Feature_95,0.0
Feature_66,0.0
Feature_109,0.0
Feature_69,0.0
Feature_92,0.0
Feature_75,0.0
Feature_76,0.0
Feature_77,0.0
Feature_78,0.0
Feature_79,0.0
Feature_80,0.0
Feature_81,0.0
Feature_82,0.0
Feature_83,0.0
Feature_91,0.0
Feature_85,0.0
Feature_87,0.0
Feature_68,0.0
Feature_58,0.0
Feature_52,0.0
Feature_55,0.0
Feature_31_diff_Feature_1122,0.0
Feature_62_sum_Feature_106,0.0
Feature_10,0.0
Feature_12,0.0
Feature_13,0.0
Feature_14,0.0
Feature_15,0.0
Feature_16,0.0
Feature_21,0.0
Feature_22,0.0
Feature_26,0.0
Feature_27,0.0
Feature_25,0.0
Feature_109_sum_Feature_106,0.0
Feature_107,0.0
Feature_97,0.0
Feature_88,0.0
Feature_98,0.0
Feature_62_multiply_Feature_106,0.0
Feature_50,0.0
Feature_1122,0.0
Feature_99,0.0
Feature_89,0.0
Feature_60,9.265024214984984e-05
Feature_90,0.0001458971854299551
Feature_48,0.0008733082190156116
Feature_11,0.0011428946070373258
Feature_39,0.0012674762308597875
Feature_57,0.001267899200320266
Feature_24,0.0014633921999484545
Feature_74,0.0014977101888507872
Feature_1,0.0016113946586847616
Feature_86,0.0016609520278871304
Feature_59,0.0018592056818306669
Feature_46,0.002887485898099851
Feature_7,0.0029026177804917343
Feature_53,0.0033609041012823805
Feature_63,0.004325989461503954
Feature_38,0.005095013985410357
Feature_84,0.005983748892322216
Feature_64,0.007856595385819698
Feature_106_diff_Feature_66,0.008757451996207265
Feature_41,0.009667986221611524
Feature_8,0.01092546549625698
Feature_71,0.013254058887250753
random_feature,0.013765634754672674
Feature_2,0.026741210040636388
Feature_51,0.02943779457360508
Feature_40,0.033297034366987666
Feature_28,0.03650172559078785
Feature_31,0.03697264545131477
Feature_47,0.05549229871481659
