feature,mean_importance
Feature_2,-0.00016718796221538713
Feature_8,0.0045575692364945965
Feature_72,0.006554753442760552
Feature_28,0.007100064442493015
Feature_9,0.008900126907974487
Feature_36,0.01631895904196426
Feature_71,0.018321521289180964
Feature_73,0.021297337200958277
Feature_59,0.021609508569817987
Feature_31,0.029124157091137026
Feature_70,0.03610665436601266
Feature_47,0.04906322036869824
Feature_41,0.05813658867962659
Feature_51,0.06038671880029143
Feature_106_diff_Feature_66,0.07096249007154257
Feature_40,0.08213564896490425
