feature,mean_importance
Feature_49,-0.01525292464764788
Feature_43,-0.012544848108664153
Feature_44,-0.004006319483742115
Feature_39,-0.002738023339770734
Feature_11,-0.0026332496525719785
Feature_53,-0.0021857828786596587
Feature_38,-0.0008663685526698828
Feature_7,-0.00044549495680257234
Feature_45,-0.0002722175978124186
Feature_1,-0.00012104460969567521
Feature_66,0.0
Feature_110,0.0
Feature_109,0.0
Feature_69,0.0
Feature_74,0.0
Feature_75,0.0
Feature_61,0.0
Feature_58,0.0
Feature_76,0.0
Feature_68,0.0
Feature_77,0.0
Feature_79,0.0
Feature_80,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_92,0.0
Feature_91,0.0
Feature_90,0.0
Feature_89,0.0
Feature_88,0.0
Feature_87,0.0
Feature_85,0.0
Feature_84,0.0
Feature_83,0.0
Feature_82,0.0
Feature_81,0.0
Feature_78,0.0
Feature_99,0.0
Feature_1122,0.0
Feature_16,0.0
Feature_107,0.0
Feature_52,0.0
Feature_10,0.0
Feature_12,0.0
Feature_13,0.0
Feature_14,0.0
Feature_50,0.0
Feature_27,0.0
Feature_21,0.0
Feature_22,0.0
Feature_24,0.0
Feature_25,0.0
Feature_26,0.0
Feature_55,2.5738528929641903e-05
Feature_42,0.0006798014789819673
Feature_56,0.0008653794741257936
Feature_70,0.0009402480069548025
Feature_57,0.0010045587597414807
Feature_15,0.0014617820084095068
Feature_93,0.002017814065329726
Feature_67,0.002214797521010037
Feature_62,0.002637346144765629
Feature_8,0.0034633065573871137
Feature_48,0.0035564933461137206
Feature_37,0.003616480883210893
Feature_60,0.0039897547708824255
Feature_64,0.004762273272499428
Feature_72,0.007999237894546252
Feature_46,0.008035519167315219
Feature_63,0.009054464083164937
Feature_28,0.009179779659025366
Feature_86,0.009998455164022747
Feature_71,0.015353174735791975
Feature_9,0.015435136163141582
Feature_2,0.015946759050711978
Feature_73,0.016743335546925676
Feature_59,0.018508482319302865
Feature_36,0.02226072258199565
Feature_51,0.03520394686143845
Feature_40,0.03535554072353988
Feature_41,0.03806295804679394
Feature_47,0.038635255414992575
Feature_106,0.04194315547589213
Feature_31,0.14328273783437911
