feature,mean_importance
Feature_49,-0.010488717581611151
Feature_70,-0.009068288814742132
Feature_43,-0.008898928607814039
Feature_59,-0.005238550780341034
Feature_38,-0.0038185332785360625
Feature_45,-0.003078870349563667
Feature_44,-0.002561502568423768
Feature_53,-0.00221252586692573
Feature_37,-0.0020531869027763825
Feature_11,-0.0019753048662096485
Feature_67,-0.0007357730250805772
Feature_1,-0.0005922954902053079
Feature_92_sum_Feature_106,-0.0005088480189442745
Feature_78,-0.0002628391981124967
Feature_106,-0.00013849976472556368
Feature_85,0.0
Feature_83,0.0
Feature_82,0.0
Feature_81,0.0
Feature_80,0.0
Feature_79,0.0
Feature_21,0.0
Feature_77,0.0
Feature_76,0.0
Feature_75,0.0
Feature_74,0.0
Feature_69,0.0
Feature_16,0.0
Feature_87,0.0
Feature_88,0.0
Feature_89,0.0
Feature_90,0.0
Feature_31_diff_Feature_1122,0.0
Feature_79_sum_Feature_106,0.0
Feature_62_sum_Feature_106,0.0
Feature_62_multiply_Feature_106,0.0
Feature_109_sum_Feature_106,0.0
Feature_90_sum_Feature_106,0.0
Feature_1122,0.0
Feature_99,0.0
Feature_98,0.0
Feature_97,0.0
Feature_96,0.0
Feature_95,0.0
Feature_93,0.0
Feature_92,0.0
Feature_91,0.0
Feature_66,0.0
Feature_110,0.0
Feature_68,0.0
Feature_62,0.0
Feature_13,0.0
Feature_12,0.0
Feature_10,0.0
Feature_109,0.0
Feature_27,0.0
Feature_50,0.0
Feature_26,0.0
Feature_52,0.0
Feature_107,0.0
Feature_14,0.0
Feature_22,0.0
Feature_61,0.0
Feature_25,0.0
Feature_24,0.0
Feature_7,0.0
Feature_60,0.0
Feature_58,0.0
Feature_8,0.00017733059823510366
Feature_15,0.0002112328819930398
Feature_42,0.0007889585802331566
Feature_56,0.0010538255702704168
Feature_57,0.0013408651156350925
Feature_84,0.0014906255668029166
Feature_55,0.0025596828386187376
Feature_31_sum_Feature_106,0.0029542244598269375
Feature_46,0.004921122856903803
Feature_64,0.005310674537904558
Feature_72,0.006146053399424989
Feature_109_multiply_Feature_106,0.008406680775806285
Feature_48,0.008664881922304624
Feature_73,0.009813157636672242
Feature_86,0.010617637322284278
Feature_28,0.01078881240915507
Feature_9,0.011950996196828767
Feature_36,0.012564019812271
Feature_39,0.015679382118396444
Feature_63,0.016366580883041014
Feature_47,0.016831204718910153
Feature_2,0.018381521073169982
Feature_51,0.022348809626419098
Feature_71,0.023094500428996977
Feature_40,0.028594623040407875
Feature_41,0.04875153872184453
Feature_31,0.06560372032225133
Feature_106_diff_Feature_66,0.0785726040555164
