name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,logloss,0.33285057019558734,27.73,0.204
2_Xgboost,Xgboost,logloss,0.44885434047318995,45.28,0.402
3_Xgboost,Xgboost,logloss,0.3319573544873856,40.14,0.492
4_Xgboost,Xgboost,logloss,0.6931474506855011,27.88,0.38
5_Xgboost,Xgboost,logloss,0.6931471824645996,26.07,0.3231
3_Xgboost_GoldenFeatures,Xgboost,logloss,0.3329279247228987,69.73,0.3525
1_Default_Xgboost_GoldenFeatures,Xgboost,logloss,0.3269890511431731,31.11,0.3199
2_Xgboost_GoldenFeatures,Xgboost,logloss,0.43614830255741255,23.26,0.3264
1_Default_Xgboost_GoldenFeatures_RandomFeature,Xgboost,logloss,0.34339330028276893,22.45,0.3088
1_Default_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.28795408478239554,11.01,0.2039
6_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.27448070659069346,11.62,0.2049
7_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.2838196252239868,15.51,0.3118
8_Xgboost_GoldenFeatures,Xgboost,logloss,0.3268456936907023,36.67,0.3615
9_Xgboost_GoldenFeatures,Xgboost,logloss,0.3249273536750115,44.92,0.6825
10_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.2924634922738187,13.34,0.1758
11_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,logloss,0.28901111748768016,11.28,0.1667
Ensemble,Ensemble,logloss,0.274480676909443,1.87,0.1828
